,block_dc_mq_1,block_dc_mq_2,block_dc_mq_3,block_dc_mq_4,block_dc_mq_5,block_dc_mq_6,block_dc_mq_7,block_dc_mq_8,block_dc_mq_9,block_dc_mq_10,block_dc_mq_11,block_dc_mq_12,block_dc_mq_13,block_dc_mq_14,block_dc_mq_15,block_dc_mq_16,block_dc_mq_17,block_dc_mq_18,block_dc_mq_19,block_dc_mq_20,block_dc_mq_21,block_dc_mq_22,block_dc_mq_23,block_dc_mq_24,block_dc_mq_25,block_dc_mq_26,block_dc_mq_27,block_dc_mq_28,block_dc_mq_29,block_dc_mq_30,block_dc_mq_31,block_dc_mq_32,block_dc_mq_33,block_dc_mq_34,block_dc_mq_35,block_dc_mq_36
Episode 89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 148,56.66666666666666,56.66666666666666,56.66666666666666,56.66666666666666,56.66666666666666,54.4,51.0,45.333333333333336,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 149,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896,34.967105584826896
Episode 150,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493,34.96710558481493
Episode 151,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337,31.746642699669337
Episode 152,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157,28.831314021903157
Episode 153,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691,26.19070386452691
Episode 154,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563,23.79769347855563
Episode 155,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995,21.745261410550995
Episode 156,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597,19.766446112811597
Episode 157,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485,19.766446112799485
Episode 158,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097
Episode 159,56.66666666666666,56.66666666666666,56.66666666666666,56.66666666666666,54.4,51.0,45.333333333333336,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 160,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097,17.970941523642097
Episode 161,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038,16.341201919272038
Episode 162,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492,14.861459327710492
Episode 163,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388,13.517526398371388
Episode 164,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584,12.296624011665584
